region,axonal_bifurcation_remote_angle_mean_zscore,axonal_length_mean_zscore,axonal_branches_mean_zscore,axonal_max_branch_order_mean_zscore,dendritic_bifurcation_remote_angle_mean_zscore,dendritic_length_mean_zscore,dendritic_branches_mean_zscore,dendritic_max_branch_order_mean_zscore
NI,0.9946378335244453,2.1804946233159748,3.656426113703856,5.0687353042638374,0.4709632329528312,-0.18900104145453778,-0.9804107654266757,-1.0714600761622457
NLL,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NLOT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NOD,0.9561509295870403,-0.467373732911525,-0.1890090022192317,-0.04093174949756051,-0.3762547952243641,-0.8835385324610963,1.9315394410440758,3.6641089123268937
NOT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NPC,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NR,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NTB,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
NTS,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
OLF,0.8997994142179923,0.5382403774997498,0.8102462912278273,1.0698654361027433,0.1874131615197218,-0.042119366594104736,0.206555604449021,-0.42148001891863834
OP,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
ORBl,0.6340975096747649,1.3844501633048538,0.17762458060158914,0.2989088157641489,-0.17125177639339983,1.0338203330395004,0.2907011574536579,0.9902072134222976
ORBm,0.6779973231249327,1.532117867123117,0.13882983390648762,0.3763987128222534,-0.09745037287481086,1.0292179345177785,0.1161647691544921,0.4988999051531574
ORBvl,0.6790188437406547,1.2063486525744662,0.0882074966805919,0.3162960716109413,0.030389651330351476,0.9072416938142747,0.0801730036511749,1.0321318437945313
OT,0.9386586059747417,-0.5599887364369663,-0.19871050992260123,0.7286920148112215,-0.8269860975567003,-0.8107662270135086,-0.5976973097190912,-0.5806588084476849
OV,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
P,0.5756780921396937,0.260934630078903,-0.17021233104395328,0.054279437839608445,-0.07006557878714394,-0.6584721822517883,-0.5311384478569027,-0.5541290101928439
P5,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
PA,0.712475276916176,0.02466393249464602,-0.4323551537787501,0.014608109782454679,-0.07472884470124705,-0.30910074937785614,-0.453486442351016,-0.11196570594549207
PAA,0.8265373311161883,0.3288934872392782,0.0868776230953386,0.3478472654625458,-0.9486730002876521,-0.2909099162167016,-0.7308150334434684,-0.42148001891863834
PAG,0.7781297729310177,0.04698703556863401,-0.1465649060169901,-0.04093174949756051,-1.090629964688503,0.524622172569571,-0.3980207241325254,-0.42148001891863834
PAL,0.7940344880707476,0.7175892974076101,0.794632927267717,0.7921661397026674,0.2965296916688456,-0.1452996332661388,-0.2607430715417614,-0.21255785766176452
PAR,0.715884989426381,0.20157254980892722,0.03946259670724886,0.3318357744989378,0.4370188410524725,-0.27701388264992666,-0.14010513441654457,0.15305592453776462
PARN,0.9543586647376869,1.509149417852617,3.104652863074715,1.2087150843027812,-1.536841999353375,0.5437497695205544,-0.2981824313392425,-0.6071886067025262
